location,rooms,total_listings,latitude,longitude
Linas (91310),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres,Type  cuisine : Cuisine indépendante3 chambres,1 salle d'eau3 chambres,Type  cuisine : Cuisine indépendante1 chambre",5,48.6318506,2.2683684
Livry gargan (93190),4 chambres6 chambres,2,48.9183662,2.5314752
Livry-gargan (93190),"1 chambre,Type  cuisine : Cuisine indépendante1 chambre2 chambres",3,48.9183662,2.5314752
Lizy sur ourcq (77440),4 chambres,1,49.0174551,3.050229
Lommoye (78270),4 chambres,1,49.0302898,1.5223624
Longjumeau (91160),1 chambre4 chambres2 chambres2 chambres,4,48.6879499,2.2889439
Longuesse (95450),8,1,49.0773536,1.9037631
Longueville (77650),"3 chambres,Type  cuisine : Cuisine indépendante",1,48.5149569,3.2491174
Louvres (95380),3 chambres,1,49.0557957,2.5165145
Lumigny nesles ormeaux (77540),7 chambres,1,48.6920763,2.9792743
Magnanville (78200),3 chambres,1,48.9567026,1.6307396
Magny en vexin (95420),"3 chambres,1 salle d'eau",1,49.13345,1.7826795
Magny les hameaux (78114),3 chambres,1,48.7378942,2.0551073
Magny-en-vexin (95420),5 chambres2 chambres4 chambres,3,49.13345,1.7826795
Magny-les-hameaux (78114),4 chambres,1,48.7378942,2.0551073
Maisons alfort (94700),2 chambres2 chambres4 chambres,3,48.8013005,2.4365975
Maisons laffitte (78600),7 chambres,1,48.9357062,2.1323075
Maisons-alfort (94700),441 chambre,3,48.8013005,2.4365975
Malakoff (92240),4 chambres3 chambres4 chambres,3,48.8169874,2.2980754
Mantes la jolie (78200),"42 chambres,1 salle de bain2 chambres,1 salle de bain6 chambres,1 salle de bain,1 salle d'eau5 chambres1 chambre",6,48.9567026,1.6307396
Mantes la ville (78711),"3 chambres,1 salle d'eau2 chambres,1 salle d'eau1 chambre6 chambres",4,48.9752349,1.7160458
Mantes-la-jolie (78200),3 chambres2 chambres,3,48.9567026,1.6307396
Mantes-la-ville (78711),2 chambres3 chambres3 chambres2 chambres3 chambres,5,48.9752349,1.7160458
Marcoussis (91460),"5 chambres,2 salles de bain3 chambres",2,48.6490584,2.1981399
Mareil marly (78750),3 chambres,1,48.8798778,2.0755472
Marines (95640),"4 chambres,1 salle d'eau",1,49.1549024,2.0111754
Marly le roi (78160),4 chambres,1,48.866042,2.0909777
Marly-la-ville (95670),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.080811,2.506439
Marnes la coquette (92430),6 chambres,1,48.8287849,2.1646468
Marolles-en-brie (94440),"4 chambres,Type  cuisine : Cuisine indépendante",2,48.7338944,2.567586
Massy (91300),63 chambres2 chambres,3,48.7263611,2.2770305
Maule (78580),"5 chambres3 chambres,1 salle d'eau1 chambre,1 salle d'eau3 chambres",4,48.915956,1.8736172
Maurepas (78310),6,1,48.7593965,1.9224347
Meaux (77100),"71234 chambres3 chambres3 chambres2 chambres1 chambre,1 salle de bain2 chambres5 chambres3 chambres",12,48.9424327,2.8954555
Melun (77000),3 chambres3 chambres1 chambre,4,48.523948,2.6888745
Mennecy (91540),"51 chambre,1 salle de bain",2,48.561406,2.4212741
Menouville (95810),"3 chambres,2 salles de bain",1,49.1555613,2.0926485
Menucourt (95180),"3 chambres3 chambres,Type  cuisine : Cuisine indépendante",2,49.0273763,1.9752824
Mery sur oise (95540),2 chambres,1,49.0517643,2.1754189
Mery-sur-oise (95540),1 chambre,1,49.0517643,2.1754189
Messy (77410),2 chambres,1,48.9467251,2.7158972
Meudon (92190),2 chambres1 chambre1 chambre,4,48.8097395,2.229958
Meudon la foret (92360),3,1,48.7943347,2.2218202
Meulan en yvelines (78250),2 chambres,1,49.018842,1.9056632
Mezieres sur seine (78970),5 chambres,1,48.9481035,1.7784674
Mezieres-sur-seine (78970),5 chambres,1,48.9481035,1.7784674
Mezy-sur-seine (78250),5 chambres,1,49.018842,1.9056632
Milly-la-forêt (91490),"5 chambres,Type  cuisine : Cuisine séparée équipée",2,48.4190798,2.4722485
Mitry-mory (77290),"4 chambres,Type  cuisine : Cuisine américaine",1,48.979601,2.6261836
